Original Link,Resolved CID
Lemuria_(continent),bafkreibfqm2vizunrrsgzdfplk4eshu3scv3dthqmb6flt2ym7hx44gxci
Agricultural_production,bafkreie77alylivw4lsehk7ye2rhuu6pyajr667krksmsmxo37w4pg3qde
Wadden_Sea,bafkreiamldn6cluaricl6z32l6so5pfsuvuztxua5cgemorgpx2zsf6ere
New_England,bafybeicwlccefhocow5lmr6myf4fw3tf7myjfvsmaafxsryawlsc4sax6a
Semitic_languages,bafybeifkzh45flj3v2ps5ruh5tzw6cy2xmbeo5faeftytsfxgezathm524
Zambezian_region,bafkreihcixhaox52matoc5ks6gfnnn3qy4pl4pn4vuuajielf53rzzpz6i
French_America,bafybeihyk2ed62igy6qfpz3pqcgszjfvtwkbpfrwzzd4nu4dz6kxjne2ie
Bashmur,bafkreidzakpgl5ynbmx7osdc2zyct2wp4upll2ogaqrotqhzk5u32sqg6q
Peace_River_Country,bafkreifsomlqq3fjtiggeaideit5jrdrcnfea2cv6iryh4qcknpgxjb4um
Siouxland,bafkreihha4jdk4oa6fac3lwywulsmqkchjmqlwjcxy536j3bmtgphvgz6i
African_divination,bafkreifbs7zzfjocafv6fbzmosq4fffaq3p3chmgluem6oxdleqdodxiqe
Mediterranean_Basin,bafkreihaib473p2ml2e4bk3olz6agp4iusugfzcyagyauhloi2sxsqxzle
Kara_Sea,bafkreidh2yqhk2y3zkj6zpswfbpt5ddb7md43skzx2ovpzpvpol2uylz4i
Malagasy_people,bafkreig5xkzl6totahep2avokpgjykcnxciwdaml5olnza36ap54b7fqpe
Corduene,bafkreicezqt2llekeg2iasxy2lhch6jnavwiwv6s3s4g43qib6vjdumr2i
Bismarck_Sea,bafkreieeefypp3ufznjrpqkc4nnrkwd4hnrib6o7ifxx26jcuujz2fcfwi
Llanos,bafkreiawqs4wgn4sqiurakyuxhsmrocpxa7kr66k5ivxpsre2sqeq45u6i
Gulf_of_California,bafkreihcutzcmqv53gc6h4kkqjulc45qchn2qd2gamtwhdg2h3ih6rhyhe
Bible_Belt,bafkreigujkiryvry23xt7j4z5r7z5a74ysuzns4eqcuem6mixiiyacxdg4
Uganda,bafybeia6hd4a6zble56p72e47jndzfgarlydwbq2l4u365jcoxrklyh7pm
Megaris,bafkreignicm44pe7rz7zl6oqcwn4gn2ew6favngixc4eia4ypwcxdjx3se
Trans-Atlantic_slave_trade,bafkreiabpfml3z4nsoba7m247yrvhlo5npnb6pnpkwkupkoq4cgtlsweji
Sahul_Shelf,bafkreifcvb3hpbbeuhc2sxjah7jqeizal4epmx42fc2g5ooqv5ajaofexm
Zalesye,bafkreihz6rxq3lc7ytohceo7fgb7qsxaj72aaq4dftxxnfezmbacrchzqy
Paranthropus_boisei,bafkreiggnmzidnqwftnlmaqihqls4rnjbzsrlopmyfnfk5mz3qos2jxxxa
Central_Highlands_(Tasmania),bafkreibrabablf73qfcqxta3cp7sqcqntvox3cul5nratp3q5dpxugnxhi
2010s,bafybeicmwp3dgnpau4mhy4garcdk6lmskpm26yk5isjrjipz3rqfgcceza
Nuba_Mountains,bafkreihtcmpgjs2tx7wowjklpkweqg2rsmbkucysupzgm5c6j6b6fxepda
Coat_of_arms,bafkreibk25aeypfg4t4u2yrbvq6jjiueh67wc5hxvatsdneayormuzgzam
BBC_World_Service,bafkreibm6mgyr33d3yfwwkz2mizs4nur4jzcnjqqytpe4nqwsacpz7lnvi
Jianghuai,bafkreiasfqai42swsosb6wifpogalxomzc2y66wrbd4ut7sjqqflianshu
Madeira,bafybeihotn3w5m3vuht73aawqxkzklzko3fwia3jwoh5hfkac2yezp3lr4
Climate_change_in_Africa,bafkreif3z6m5slwdigkhobihq7lu2lgwx3mkysezqqjtybyp5kgky7lr6m
